Time,Open,High,Low,Close,Tick Volume
1374667200,132.463,132.733,132.26,132.566,13063
1374681600,132.564,132.697,132.247,132.262,17050
1374696000,132.261,132.428,132.152,132.32,7492
1374710400,132.345,132.482,132.044,132.068,9979
1374724800,132.068,132.295,131.983,132.094,9179
1374739200,132.094,132.348,131.583,131.665,16544
1374753600,131.662,131.982,131.454,131.933,17581
1374768000,131.937,131.98,131.635,131.807,14060
1374782400,131.809,132.025,131.472,131.77,12839
1374796800,131.788,131.911,131.532,131.682,11401
1374811200,131.681,131.74,130.994,131.137,13239
1374825600,131.134,131.366,130.941,131.096,15736
1374840000,131.099,131.099,130.28,130.325,16586
1374854400,130.326,130.438,130.083,130.277,15172
1374868800,130.273,130.539,130.226,130.474,5906
1375056000,130.524,130.525,129.914,129.958,12563
1375070400,129.956,130.215,129.766,129.883,12488
1375084800,129.883,130.231,129.793,129.874,16351
1375099200,129.877,130.027,129.676,129.842,14154
1375113600,129.846,130.084,129.586,129.61,13424
1375128000,129.618,129.939,129.604,129.853,6342
1375142400,129.852,130.183,129.762,130.067,9678
1375156800,130.063,130.517,129.978,130.308,11726
1375171200,130.31,130.437,130.026,130.066,14796
1375185600,130.065,130.309,129.866,130.296,14858
1375200000,130.295,130.305,129.826,129.935,13144
1375214400,129.936,130.104,129.908,130.022,6136
1375228800,130.022,130.142,129.808,130.051,10072
1375243200,130.053,130.116,129.781,129.782,10282
1375257600,129.779,129.999,129.603,129.65,17415
1375272000,129.651,130.253,129.335,130.064,19598
1375286400,130.062,130.787,130.021,130.412,15606
1375300800,130.462,130.618,130.02,130.039,14957
1375315200,130.042,130.417,129.933,130.288,11233
1375329600,130.288,130.629,130.271,130.625,11486
1375344000,130.625,130.982,130.412,130.66,15358
1375358400,130.656,131.395,130.414,131.192,19072
1375372800,131.192,131.482,131.12,131.454,15285
1375387200,131.454,131.547,131.355,131.433,8053
1375401600,131.442,131.561,131.256,131.404,10251
1375416000,131.402,131.633,131.228,131.617,10289
1375430400,131.617,131.86,131.546,131.797,13745
1375444800,131.797,131.957,131.17,131.562,18905
1375459200,131.558,131.621,131.071,131.444,15256
1375473600,131.445,131.488,131.262,131.333,5686
1375660800,131.452,131.553,131.194,131.237,9387
